State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Indiana,Youth (Under 18),2020,1042,36.798852682,9.199713171,65.658226875,16.414556719,102.015997419,25.503999355,16.257027384,4.064256846,83.679582812,20.919895703,258,1328,1619,584,1587006
Iowa,Youth (Under 18),2020,467,27.431638185,6.857909546,63.418688279,15.854672070,89.084924006,22.271231002,15.617021739,3.904255435,74.282703402,18.570675850,115,547,656,202,736376
Kansas,Youth (Under 18),2020,392,28.020208687,7.005052172,55.755948249,13.938987062,77.517836214,19.379459054,14.934628995,3.733657249,63.152145466,15.788036367,105,444,545,197,703064
Kentucky,Youth (Under 18),2020,670,35.633007583,8.908251896,65.950594146,16.487648536,81.404688595,20.351172149,15.650961894,3.912740474,68.116136043,17.029034011,159,692,827,362,1015912
Louisiana,Youth (Under 18),2020,419,24.285673392,6.071418348,38.690863693,9.672715923,56.882033496,14.220508374,8.957073456,2.239268364,42.015138378,10.503784594,97,455,616,263,1082943
Maine,Youth (Under 18),2020,208,57.560468264,14.390117066,82.569499303,20.642374826,97.257342929,24.314335732,15.481781119,3.870445280,75.821030610,18.955257653,39,191,245,145,251909
Maryland,Youth (Under 18),2020,689,30.294050337,7.573512584,50.538984702,12.634746175,86.554429533,21.638607383,14.743593505,3.685898376,68.363329089,17.090832272,201,932,1180,413,1363304
Massachusetts,Youth (Under 18),2020,751,27.016451404,6.754112851,55.134116859,13.783529215,88.684438304,22.171109576,12.847497271,3.211874318,67.834785590,16.958696397,175,924,1208,368,1362133
Michigan,Youth (Under 18),2020,1245,34.411034936,8.602758734,57.816111330,14.454027833,88.976441212,22.244110303,15.835577481,3.958894370,73.651688811,18.412922203,341,1586,1916,741,2153379
Minnesota,Youth (Under 18),2020,751,30.586679842,7.646669961,56.998998912,14.249749728,95.858502831,23.964625708,14.192826627,3.548206657,77.643110369,19.410777592,187,1023,1263,403,1317567
Mississippi,Youth (Under 18),2020,244,21.505841939,5.376460485,35.217620357,8.804405089,54.847113671,13.711778418,9.526077638,2.381519409,42.723014859,10.680753715,66,296,380,149,692835
Missouri,Youth (Under 18),2020,813,30.912414585,7.728103646,58.719142657,14.679785664,75.908756375,18.977189094,14.806179883,3.701544971,62.835982917,15.708995729,205,870,1051,428,1384557
Montana,Youth (Under 18),2020,137,34.032415876,8.508103969,58.280512188,14.570128047,90.185902072,22.546475518,11.911345557,2.977836389,70.617262943,17.654315736,28,166,212,80,235070
Nebraska,Youth (Under 18),2020,250,27.749935802,6.937483951,51.772268288,12.943067072,84.078163700,21.019540925,15.117502340,3.779375585,66.061414336,16.515353584,73,319,406,134,482884
Nevada,Youth (Under 18),2020,417,33.631581056,8.407895264,59.678167236,14.919541809,102.612100500,25.653025125,17.316686416,4.329171604,83.148717420,20.787179355,121,581,717,235,698748
New Hampshire,Youth (Under 18),2020,187,47.586357537,11.896589384,72.939744750,18.234936187,92.832402409,23.208100602,15.212032328,3.803008082,84.251255968,21.062813992,39,216,238,122,256376
New Jersey,Youth (Under 18),2020,887,26.889054968,6.722263742,43.842999553,10.960749888,85.461720662,21.365430166,11.615676319,2.903919080,65.245501026,16.311375257,235,1320,1729,544,2023128
New Mexico,Youth (Under 18),2020,271,29.161850383,7.290462596,57.267111984,14.316777996,76.919663329,19.229915832,14.580925191,3.645231298,64.451915701,16.112978925,69,305,364,138,473221
New York,Youth (Under 18),2020,1945,28.881758131,7.220439533,47.285370004,11.821342501,85.162288495,21.290572124,12.471668284,3.117917071,66.369696715,16.592424179,513,2730,3503,1188,4113323
North Carolina,Youth (Under 18),2020,1164,31.588053546,7.897013386,50.575645567,12.643911392,81.946449777,20.486612444,14.034307146,3.508576787,67.173494886,16.793373721,323,1546,1886,727,2301503
North Dakota,Youth (Under 18),2020,68,25.848002973,6.462000743,36.618004211,9.154501053,80.236509227,20.059127307,12.924001486,3.231000372,59.773506874,14.943376718,24,111,149,48,185701
Ohio,Youth (Under 18),2020,1565,34.924388698,8.731097175,60.062272872,15.015568218,84.048803571,21.012200893,15.351379648,3.837844912,67.776341144,16.944085286,400,1766,2190,910,2605629
Oklahoma,Youth (Under 18),2020,554,31.720279138,7.930069785,57.616507025,14.404126756,68.432602207,17.108150552,15.184133620,3.796033405,55.952492382,13.988123095,146,538,658,305,961530
Oregon,Youth (Under 18),2020,662,42.607485218,10.651871304,76.856008758,19.214002190,92.064675144,23.016168786,17.066213425,4.266553356,76.391621998,19.097905500,147,658,793,367,861351
Pennsylvania,Youth (Under 18),2020,1460,34.891430807,8.722857702,54.599666643,13.649916661,80.141839463,20.035459866,15.370180130,3.842545033,67.501642665,16.875410666,411,1805,2143,933,2674009
Rhode Island,Youth (Under 18),2020,96,24.422129322,6.105532331,45.971066960,11.492766740,86.195750549,21.548937637,12.450497302,3.112624325,69.914331001,17.478582750,26,146,180,51,208827
South Carolina,Youth (Under 18),2020,527,32.226531029,8.056632757,47.176060700,11.794015175,81.013918281,20.253479570,13.069648695,3.267412174,65.974870467,16.493717617,146,737,905,360,1117092
South Dakota,Youth (Under 18),2020,113,26.765988141,6.691497035,51.263672203,12.815918051,71.678408921,17.919602230,9.980537951,2.495134488,57.161262810,14.290315703,22,126,158,59,220429
Tennessee,Youth (Under 18),2020,734,29.792155901,7.448038975,47.641486778,11.910371694,67.827457334,16.956864333,13.111144863,3.277786216,56.598605545,14.149651386,202,872,1045,459,1540674
Texas,Youth (Under 18),2020,3290,28.346184094,7.086546023,44.010828537,11.002707134,78.697782456,19.674445614,11.129790074,2.782447518,63.554846923,15.888711731,832,4751,5883,2119,7475433
Utah,Youth (Under 18),2020,410,26.709091543,6.677272886,43.283508033,10.820877008,70.203738639,17.550934660,10.662522711,2.665630678,58.274381547,14.568595387,101,552,665,253,947243
Vermont,Youth (Under 18),2020,70,51.292572835,12.823143209,59.841334975,14.960333744,106.004650527,26.501162632,14.532895637,3.633223909,76.938859253,19.234714813,17,90,124,60,116976
Virginia,Youth (Under 18),2020,1014,31.992343060,7.998085765,53.798069424,13.449517356,93.801762072,23.450440518,15.173814453,3.793453613,74.224358111,18.556089528,286,1399,1768,603,1884826
Washington,Youth (Under 18),2020,1114,38.362362644,9.590590661,66.462942435,16.615735609,97.665921693,24.416480423,16.287597204,4.071899301,80.722047679,20.180511920,273,1353,1637,643,1676122
West Virginia,Youth (Under 18),2020,191,41.222067175,10.305516794,53.198748855,13.299687214,88.014683969,22.003670992,21.446616030,5.361654008,77.709167175,19.427291794,77,279,316,148,359031
Wisconsin,Youth (Under 18),2020,807,35.300873265,8.825218316,63.306232722,15.826558181,92.566734340,23.141683585,14.669474001,3.667368500,76.720564563,19.180141141,187,978,1180,450,1274756
Wyoming,Youth (Under 18),2020,77,29.450854830,7.362713707,58.146559536,14.536639884,87.597414366,21.899353591,15.103002477,3.775750619,74.759862261,18.689965565,20,99,116,39,132424
