Label (Grouping),United States,United States,United States,Alabama,Alabama,Alabama,Alaska,Alaska,Alaska,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,California,California,California,Colorado,Colorado,Colorado,Connecticut,Connecticut,Connecticut,Delaware,Delaware,Delaware,District of Columbia,District of Columbia,District of Columbia,Florida,Florida,Florida,Georgia,Georgia,Georgia,Hawaii,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kentucky,Kentucky,Kentucky,Louisiana,Louisiana,Louisiana,Maine,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Minnesota,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Montana,Montana,Montana,Nebraska,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,North Dakota,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,Rhode Island,South Carolina,South Carolina,South Carolina,South Dakota,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Utah,Utah,Utah,Vermont,Vermont,Vermont,Virginia,Virginia,Virginia,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming,Puerto Rico,Puerto Rico,Puerto Rico
        65 years and over (2021),"54,741,794","5,623,616",10.3%,"866,673","99,143",11.4%,"97,088","8,287",8.5%,"1,321,903","127,549",9.6%,"512,145","60,111",11.7%,"5,875,920","654,921",11.1%,"865,817","66,880",7.7%,"630,569","53,974",8.6%,"197,913","13,713",6.9%,"83,744","11,530",13.8%,"4,536,802","498,861",11.0%,"1,558,801","155,230",10.0%,"278,727","26,079",9.4%,"310,008","29,544",9.5%,"2,045,520","205,200",10.0%,"1,083,312","92,770",8.6%,"548,470","46,335",8.4%,"473,324","42,922",9.1%,"749,905","87,503",11.7%,"748,574","105,247",14.1%,"289,798","26,525",9.2%,"983,128","89,286",9.1%,"1,181,918","125,705",10.6%,"1,787,295","165,605",9.3%,"933,042","79,232",8.5%,"486,383","66,912",13.8%,"1,052,207","99,570",9.5%,"213,341","18,772",8.8%,"313,584","27,418",8.7%,"515,520","58,454",11.3%,"261,019","17,909",6.9%,"1,527,211","143,104",9.4%,"387,799","49,520",12.8%,"3,385,272","414,341",12.2%,"1,763,026","180,477",10.2%,"118,800","11,159",9.4%,"2,041,225","193,785",9.5%,"630,500","66,938",10.6%,"780,168","72,864",9.3%,"2,390,341","230,287",9.6%,"192,987","18,998",9.8%,"953,131","101,778",10.7%,"152,199","16,708",11.0%,"1,163,207","118,416",10.2%,"3,826,912","452,771",11.8%,"383,653","29,419",7.7%,"130,071","11,848",9.1%,"1,384,964","110,881",8.0%,"1,232,618","100,892",8.2%,"361,311","41,605",11.5%,"1,032,148","89,830",8.7%,"101,801","6,808",6.7%,"732,519","277,996",38.0%
    SEX (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male (2021),"159,741,355","18,518,155",11.6%,"2,375,133","338,276",14.2%,"369,788","38,028",10.3%,"3,534,236","415,649",11.8%,"1,444,827","213,832",14.8%,"19,137,111","2,157,533",11.3%,"2,866,363","252,334",8.8%,"1,716,128","160,723",9.4%,"472,806","47,571",10.1%,"303,969","44,023",14.5%,"10,455,872","1,259,820",12.0%,"5,098,018","651,305",12.8%,"698,554","75,384",10.8%,"933,540","92,866",9.9%,"6,089,435","672,435",11.0%,"3,258,835","351,437",10.8%,"1,553,362","153,072",9.9%,"1,427,382","151,137",10.6%,"2,154,525","320,389",14.9%,"2,174,412","383,684",17.6%,"656,392","67,502",10.3%,"2,916,802","269,123",9.2%,"3,298,608","303,094",9.2%,"4,859,295","582,730",12.0%,"2,797,163","236,324",8.4%,"1,378,370","240,788",17.5%,"2,950,053","336,091",11.4%,"547,537","60,981",11.1%,"958,735","91,468",9.5%,"1,557,134","205,033",13.2%,"673,683","40,193",6.0%,"4,462,653","405,131",9.1%,"1,024,846","174,749",17.1%,"9,414,624","1,209,895",12.9%,"4,989,490","605,925",12.1%,"386,846","37,084",9.6%,"5,633,284","681,383",12.1%,"1,918,513","274,906",14.3%,"2,074,028","238,704",11.5%,"6,180,550","662,566",10.7%,"516,136","51,194",9.9%,"2,444,689","329,714",13.5%,"437,024","49,544",11.3%,"3,321,928","407,132",12.3%,"14,347,324","1,860,589",13.0%,"1,665,973","130,317",7.8%,"308,889","29,567",9.6%,"4,124,490","379,401",9.2%,"3,812,786","339,987",8.9%,"857,840","127,898",14.9%,"2,872,614","280,493",9.8%,"288,760","29,151",10.1%,"1,526,282","583,160",38.2%
        Female (2021),"164,431,729","22,875,021",13.9%,"2,545,480","456,050",17.9%,"346,981","37,137",10.7%,"3,592,694","493,312",13.7%,"1,499,462","266,321",17.8%,"19,344,679","2,575,503",13.3%,"2,829,777","300,938",10.6%,"1,790,098","193,443",10.8%,"505,869","65,879",13.0%,"333,522","60,984",18.3%,"10,912,663","1,545,613",14.2%,"5,431,488","825,043",15.2%,"703,838","81,351",11.6%,"934,834","112,836",12.1%,"6,291,147","826,088",13.1%,"3,349,592","451,584",13.5%,"1,546,955","191,624",12.4%,"1,427,242","182,381",12.8%,"2,225,320","401,489",18.0%,"2,326,659","499,552",21.5%,"681,627","86,615",12.7%,"3,107,045","349,249",11.2%,"3,449,802","397,044",11.5%,"4,988,108","703,599",14.1%,"2,790,026","283,407",10.2%,"1,483,257","313,364",21.1%,"3,049,771","425,220",13.9%,"532,327","67,142",12.6%,"955,477","114,384",12.0%,"1,546,042","232,352",15.0%,"675,209","57,210",8.5%,"4,630,482","525,471",11.3%,"1,051,678","208,049",19.8%,"9,914,714","1,478,692",14.9%,"5,295,563","772,696",14.6%,"365,187","46,266",12.7%,"5,837,233","855,141",14.6%,"1,959,263","331,876",16.9%,"2,092,334","269,125",12.9%,"6,390,815","856,466",13.4%,"535,955","68,861",12.8%,"2,618,459","411,938",15.7%,"430,015","57,004",13.3%,"3,489,685","520,455",14.9%,"14,586,314","2,261,949",15.5%,"1,624,471","151,356",9.3%,"312,449","34,153",10.9%,"4,276,737","474,744",11.1%,"3,787,174","414,328",10.9%,"877,036","164,032",18.7%,"2,882,174","340,632",11.8%,"277,000","35,073",12.7%,"1,709,021","727,304",42.6%
    RACE AND HISPANIC OR LATINO ORIGIN (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        White alone (2021),"198,511,109","19,510,415",9.8%,"3,218,517","378,269",11.8%,"425,946","32,397",7.6%,"4,156,705","399,147",9.6%,"2,064,398","276,781",13.4%,"15,154,116","1,470,782",9.7%,"4,024,108","324,117",8.1%,"2,294,990","165,247",7.2%,"597,120","46,530",7.8%,"239,702","12,099",5.0%,"11,992,853","1,231,762",10.3%,"5,475,713","532,767",9.7%,"305,835","36,505",11.9%,"1,522,134","156,002",10.2%,"7,596,663","658,730",8.7%,"5,166,265","529,045",10.2%,"2,620,584","252,010",9.6%,"2,173,206","216,531",10.0%,"3,655,817","561,959",15.4%,"2,621,687","325,849",12.4%,"1,214,188","136,301",11.2%,"2,965,003","198,881",6.7%,"4,677,813","363,870",7.8%,"7,304,986","754,078",10.3%,"4,350,858","326,270",7.5%,"1,617,153","186,362",11.5%,"4,650,310","494,099",10.6%,"920,920","92,813",10.1%,"1,504,348","133,545",8.9%,"1,540,310","177,193",11.5%,"1,189,113","82,260",6.9%,"4,977,018","343,043",6.9%,"938,555","133,901",14.3%,"10,754,607","1,071,233",10.0%,"6,438,600","627,055",9.7%,"626,675","57,471",9.2%,"8,891,543","943,925",10.6%,"2,544,799","337,406",13.3%,"3,114,538","354,145",11.4%,"9,435,818","855,801",9.1%,"744,026","57,318",7.7%,"3,225,889","326,040",10.1%,"702,298","57,431",8.2%,"4,991,973","557,432",11.2%,"13,840,114","1,447,169",10.5%,"2,610,568","204,222",7.8%,"567,796","54,848",9.7%,"5,119,659","402,234",7.9%,"5,057,928","430,038",8.5%,"1,579,039","253,613",16.1%,"4,629,946","395,036",8.5%,"478,359","48,853",10.2%,"904,157","376,501",41.6%
        Black or African American alone (2021),"38,536,055","8,402,643",21.8%,"1,260,356","327,284",26.0%,"19,749","3,298",16.7%,"309,600","51,696",16.7%,"426,337","123,828",29.0%,"2,049,591","407,932",19.9%,"217,190","38,372",17.7%,"363,349","57,579",15.8%,"198,357","31,882",16.1%,"277,865","77,030",27.7%,"3,171,916","646,127",20.4%,"3,222,546","648,601",20.1%,"26,011","3,723",14.3%,"12,806","3,529",27.6%,"1,646,367","408,495",24.8%,"570,675","117,738",20.6%,"107,730","30,528",28.3%,"143,080","33,084",23.1%,"305,941","73,804",24.1%,"1,381,950","440,904",31.9%,"18,952","5,277",27.8%,"1,742,057","251,905",14.5%,"444,195","67,758",15.3%,"1,299,400","340,973",26.2%,"373,562","78,080",20.9%,"1,021,106","318,594",31.2%,"638,580","146,290",22.9%,N,N,N,"86,042","17,696",20.6%,"280,140","72,100",25.7%,"18,439","1,188",6.4%,"1,139,326","187,553",16.5%,"40,008","9,924",24.8%,"2,698,772","547,919",20.3%,"2,040,932","421,381",20.6%,"21,757","4,632",21.3%,"1,343,330","369,290",27.5%,"258,632","67,382",26.1%,"77,405","15,460",20.0%,"1,273,277","316,173",24.8%,"50,089","10,135",20.2%,"1,261,343","299,926",23.8%,"16,980","3,227",19.0%,"1,040,016","231,137",22.2%,"3,388,243","660,174",19.5%,"34,464","7,837",22.7%,"6,106","1,404",23.0%,"1,516,575","249,797",16.5%,"298,815","57,241",19.2%,"43,259","12,245",28.3%,"341,604","100,620",29.5%,"6,187","3,283",53.1%,"199,489","79,371",39.8%
        American Indian and Alaska Native alone (2021),"3,066,848","656,007",21.4%,"24,398","6,205",25.4%,"97,879","21,461",21.9%,"285,686","84,672",29.6%,"16,522","2,468",14.9%,"524,031","76,646",14.6%,"57,922","10,477",18.1%,"11,647","2,281",19.6%,N,N,N,N,N,N,"61,522","12,849",20.9%,"51,122","12,783",25.0%,N,N,N,"22,953","5,250",22.9%,"83,022","12,892",15.5%,"18,871","4,976",26.4%,"15,059","3,241",21.5%,"20,606","3,588",17.4%,"10,040","3,339",33.3%,"23,131","4,762",20.6%,"4,624",635,13.7%,"24,580","2,708",11.0%,"14,629","2,505",17.1%,"49,322","10,073",20.4%,"44,271","10,809",24.4%,"15,444","4,440",28.7%,"20,703","3,029",14.6%,"60,313","22,097",36.6%,"22,332","3,961",17.7%,"44,214","7,761",17.6%,N,N,N,"35,112","7,707",21.9%,"194,860","59,530",30.6%,"116,337","26,580",22.8%,"113,785","25,609",22.5%,"34,318","10,879",31.7%,"20,190","4,685",23.2%,"290,556","52,732",18.1%,"54,618","8,427",15.4%,"22,028","3,542",16.1%,"3,223","1,287",39.9%,"19,393","7,475",38.5%,"69,682","33,590",48.2%,"17,682","3,630",20.5%,"223,393","33,632",15.1%,"31,965","7,901",24.7%,N,N,N,"35,627","3,650",10.2%,"94,806","14,386",15.2%,N,N,N,"40,421","7,752",19.2%,"10,047","3,452",34.4%,N,N,N
        Asian alone (2021),"18,833,840","1,918,933",10.2%,"67,956","7,852",11.6%,"47,028","3,723",7.9%,"242,930","25,800",10.6%,"43,047","4,578",10.6%,"5,892,393","596,199",10.1%,"182,036","15,087",8.3%,"166,757","12,403",7.4%,"40,551","4,090",10.1%,"25,320","4,070",16.1%,"613,164","61,186",10.0%,"452,638","39,759",8.8%,"529,424","40,453",7.6%,"25,004","3,024",12.1%,"717,733","75,121",10.5%,"154,786","25,036",16.2%,"73,625","9,399",12.8%,"83,482","7,220",8.6%,"63,404","5,496",8.7%,"79,795","15,024",18.8%,"15,616","2,469",15.8%,"404,392","35,467",8.8%,"469,222","50,995",10.9%,"316,275","34,465",10.9%,"283,994","32,970",11.6%,"23,953","3,093",12.9%,"121,592","15,401",12.7%,"10,114","2,110",20.9%,"44,647","6,151",13.8%,"268,471","30,620",11.4%,"35,072","2,231",6.4%,"916,337","54,660",6.0%,"34,018","4,066",12.0%,"1,685,661","247,192",14.7%,"319,174","26,971",8.5%,"10,822","1,617",14.9%,"277,094","31,612",11.4%,"89,532","13,966",15.6%,"187,687","22,219",11.8%,"456,767","54,428",11.9%,"31,589","4,366",13.8%,"82,861","11,536",13.9%,"14,002","1,184",8.5%,"115,871","12,812",11.1%,"1,536,442","126,838",8.3%,"83,556","5,226",6.3%,"10,509","1,422",13.5%,"575,913","43,116",7.5%,"720,660","59,431",8.2%,"13,880","1,055",7.6%,"172,128","22,786",13.2%,"4,916",938,19.1%,N,N,N
        Native Hawaiian and Other Pacific Islander alone (2021),"594,585","104,847",17.6%,N,N,N,N,N,N,"12,221","1,192",9.8%,"11,672","2,761",23.7%,"148,930","28,496",19.1%,N,N,N,N,N,N,N,N,N,N,N,N,"12,308","1,529",12.4%,N,N,N,"139,112","22,948",16.5%,N,N,N,"5,654",603,10.7%,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"7,109","1,712",24.1%,N,N,N,N,N,N,"22,754","3,925",17.2%,N,N,N,N,N,N,N,N,N,"8,752","2,241",25.6%,"5,806","1,282",22.1%,N,N,N,N,N,N,"4,906","1,098",22.4%,"16,272","5,184",31.9%,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"22,120","3,224",14.6%,"28,343","2,766",9.8%,N,N,N,N,N,N,"53,493","7,247",13.5%,N,N,N,N,N,N,N,N,N,N,N,N
        Some other race alone (2021),"23,501,829","4,456,678",19.0%,"105,046","28,333",27.0%,"18,639","1,794",9.6%,"671,815","119,539",17.8%,"89,345","24,504",27.4%,"7,380,850","1,216,171",16.5%,"357,655","51,832",14.5%,"257,030","55,363",21.5%,"45,348","9,558",21.1%,"31,993","5,257",16.4%,"1,408,057","260,605",18.5%,"397,414","90,944",22.9%,"24,775","2,577",10.4%,"107,981","15,608",14.5%,"943,123","155,914",16.5%,"206,519","39,383",19.1%,"67,959","11,197",16.5%,"127,855","26,252",20.5%,"60,058","14,142",23.5%,"85,134","20,282",23.8%,"11,600","1,120",9.7%,"401,618","72,507",18.1%,"387,813","76,601",19.8%,"189,756","36,922",19.5%,"148,869","19,007",12.8%,"38,466","15,427",40.1%,"101,858","18,728",18.4%,"14,516","1,735",12.0%,"88,807","17,551",19.8%,"403,965","69,157",17.1%,"18,767","2,335",12.4%,"915,879","183,374",20.0%,"297,809","64,286",21.6%,"1,980,939","457,816",23.1%,"504,086","127,233",25.2%,"11,538","1,145",9.9%,"189,390","42,541",22.5%,"141,614","30,651",21.6%,"229,799","33,748",14.7%,"495,968","128,560",25.9%,"94,379","26,960",28.6%,"138,167","37,934",27.5%,"12,103","3,291",27.2%,"177,119","40,797",23.0%,"2,980,625","602,726",20.2%,"187,566","23,858",12.7%,"4,341",587,13.5%,"343,047","68,518",20.0%,"435,901","73,966",17.0%,"8,829","2,013",22.8%,"140,167","22,840",16.3%,"19,932","3,489",17.5%,"962,141","418,483",43.5%
        Two or more races (2021),"41,128,818","6,343,653",15.4%,"242,679","46,122",19.0%,"96,373","9,704",10.1%,"1,447,973","226,915",15.7%,"292,968","45,233",15.4%,"7,331,879","936,810",12.8%,"849,033","112,882",13.3%,"410,975","60,552",14.7%,"93,547","20,191",21.6%,"61,282","6,259",10.2%,"4,108,715","591,375",14.4%,"924,620","150,937",16.3%,"372,499","49,390",13.3%,"175,800","21,914",12.5%,"1,388,020","186,768",13.5%,"489,624","86,302",17.6%,"210,588","38,094",18.1%,"304,681","46,404",15.2%,"279,926","62,719",22.4%,"305,752","73,704",24.1%,"72,674","8,249",11.4%,"482,652","56,637",11.7%,"753,046","137,949",18.3%,"685,246","109,535",16.0%,"383,809","52,381",13.6%,"145,015","26,185",18.1%,"459,672","82,052",17.9%,"68,583","8,740",12.7%,"167,442","26,842",16.0%,"543,322","76,629",14.1%,"85,985","9,271",10.8%,"1,105,799","153,572",13.9%,"570,107","110,563",19.4%,"2,084,270","335,606",16.1%,"862,670","149,090",17.3%,"45,208","7,502",16.6%,"742,865","141,955",19.1%,"547,737","103,547",18.9%,"486,043","68,646",14.1%,"883,177","159,793",18.1%,"127,293","19,337",15.2%,"333,415","58,283",17.5%,"51,318","7,624",14.9%,"462,723","80,814",17.5%,"6,942,701","1,248,775",18.0%,"313,982","29,863",9.5%,"31,251","4,923",15.8%,"802,153","86,711",10.8%,"938,357","112,006",11.9%,"87,376","22,274",25.5%,"429,770","71,815",16.7%,"46,223","4,209",9.1%,"1,156,482","430,563",37.2%
        Hispanic or Latino origin (of any race) (2021),"61,398,400","10,759,082",17.5%,"230,804","56,551",24.5%,"51,016","4,467",8.8%,"2,308,717","396,438",17.2%,"243,698","51,917",21.3%,"15,470,082","2,331,929",15.1%,"1,266,499","190,461",15.0%,"622,390","124,964",20.1%,"99,520","21,120",21.2%,"72,888","7,659",10.5%,"5,759,167","903,279",15.7%,"1,059,352","204,940",19.3%,"153,998","20,797",13.5%,"248,537","30,904",12.4%,"2,246,460","332,164",14.8%,"506,810","96,979",19.1%,"207,276","40,280",19.4%,"366,543","64,772",17.7%,"170,750","42,797",25.1%,"246,865","53,436",21.6%,"24,345","2,276",9.3%,"672,056","102,608",15.3%,"872,126","205,956",23.6%,"547,977","101,635",18.5%,"325,017","46,981",14.5%,"89,660","21,296",23.8%,"273,685","51,835",18.9%,"45,982","6,889",15.0%,"228,822","40,045",17.5%,"930,694","149,348",16.0%,"57,424","8,086",14.1%,"1,966,947","358,483",18.2%,"1,039,223","211,129",20.3%,"3,786,477","791,072",20.9%,"1,044,809","239,294",22.9%,"30,563","5,000",16.4%,"492,710","101,003",20.5%,"459,824","107,374",23.4%,"582,894","89,967",15.4%,"1,054,293","237,254",22.5%,"182,977","42,373",23.2%,"320,295","69,357",21.7%,"35,663","7,683",21.5%,"409,370","82,546",20.2%,"11,682,948","2,265,796",19.4%,"485,472","56,919",11.7%,"12,494","1,692",13.5%,"856,187","125,539",14.7%,"1,036,988","161,062",15.5%,"28,696","5,780",20.1%,"430,388","77,522",18.0%,"60,022","9,428",15.7%,"3,211,194","1,302,659",40.6%
"        White alone, not Hispanic or Latino (2021)","188,537,199","17,821,856",9.5%,"3,172,748","369,060",11.6%,"415,174","31,638",7.6%,"3,710,747","327,022",8.8%,"2,014,037","267,355",13.3%,"13,198,629","1,181,961",9.0%,"3,720,248","275,861",7.4%,"2,205,459","148,905",6.8%,"583,408","45,220",7.8%,"230,905","11,786",5.1%,"10,939,652","1,084,372",9.9%,"5,305,056","505,347",9.5%,"286,683","33,537",11.7%,"1,470,346","150,473",10.2%,"7,304,022","617,328",8.5%,"5,076,768","512,555",10.1%,"2,574,052","242,287",9.4%,"2,097,029","203,882",9.7%,"3,629,393","556,845",15.3%,"2,580,944","319,336",12.4%,"1,208,433","135,330",11.2%,"2,898,334","191,526",6.6%,"4,563,741","335,912",7.4%,"7,193,007","730,389",10.2%,"4,303,090","320,139",7.4%,"1,599,707","183,319",11.5%,"4,599,144","484,681",10.5%,"907,342","90,746",10.0%,"1,465,244","126,792",8.7%,"1,402,745","155,613",11.1%,"1,180,076","81,731",6.9%,"4,746,764","310,390",6.5%,"725,841","95,571",13.2%,"10,343,985","993,375",9.6%,"6,285,256","596,875",9.5%,"620,134","56,924",9.2%,"8,801,726","928,011",10.5%,"2,435,543","307,864",12.6%,"3,007,057","336,646",11.2%,"9,275,384","826,570",8.9%,"724,165","54,565",7.5%,"3,177,696","318,806",10.0%,"696,504","56,824",8.2%,"4,926,850","544,437",11.1%,"11,382,270","954,881",8.4%,"2,501,884","190,751",7.6%,"564,869","54,281",9.6%,"4,993,348","385,792",7.7%,"4,898,881","405,634",8.3%,"1,573,877","252,197",16.0%,"4,557,716","385,056",8.4%,"461,286","45,458",9.9%,"14,771","5,295",35.8%
    EDUCATIONAL ATTAINMENT (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 25 years and over (2021),"224,813,465","24,015,573",10.7%,"3,393,161","455,373",13.4%,"479,101","45,458",9.5%,"4,910,483","521,738",10.6%,"1,998,850","271,605",13.6%,"26,573,748","2,821,911",10.6%,"3,993,684","320,439",8.0%,"2,497,484","220,559",8.8%,"701,208","65,842",9.4%,"472,418","61,236",13.0%,"15,543,530","1,760,125",11.3%,"7,113,027","801,273",11.3%,"1,007,084","103,143",10.2%,"1,242,665","112,722",9.1%,"8,585,212","875,867",10.2%,"4,477,287","437,682",9.8%,"2,102,334","186,838",8.9%,"1,907,394","180,969",9.5%,"3,019,490","423,752",14.0%,"3,041,957","491,559",16.2%,"1,003,129","101,440",10.1%,"4,214,342","364,870",8.7%,"4,872,716","445,813",9.1%,"6,880,030","741,810",10.8%,"3,851,668","296,950",7.7%,"1,922,687","303,201",15.8%,"4,153,605","439,718",10.6%,"757,024","72,529",9.6%,"1,274,263","109,577",8.6%,"2,170,364","270,603",12.5%,"995,534","64,200",6.4%,"6,390,833","565,498",8.8%,"1,428,566","225,455",15.8%,"13,791,408","1,655,428",12.0%,"7,153,795","787,730",11.0%,"498,325","43,802",8.8%,"7,973,607","879,431",11.0%,"2,586,102","322,711",12.5%,"2,999,006","319,608",10.7%,"8,988,941","906,160",10.1%,"761,407","71,685",9.4%,"3,550,678","426,700",12.0%,"578,789","57,060",9.9%,"4,739,950","540,680",11.4%,"18,917,633","2,153,225",11.4%,"1,992,509","143,637",7.2%,"457,989","40,388",8.8%,"5,851,378","483,931",8.3%,"5,345,949","450,970",8.4%,"1,242,041","183,437",14.8%,"4,019,222","352,485",8.8%,"389,858","36,750",9.4%,"2,380,723","876,722",36.8%
            Less than high school graduate (2021),"23,415,691","5,636,955",24.1%,"394,887","114,988",29.1%,"30,714","6,995",22.8%,"531,534","121,799",22.9%,"222,511","61,578",27.7%,"4,080,557","813,138",19.9%,"297,311","60,512",20.4%,"218,364","52,303",24.0%,"58,932","14,121",24.0%,"33,955","11,955",35.2%,"1,545,006","375,016",24.3%,"763,727","192,963",25.3%,"69,396","13,554",19.5%,"107,873","18,649",17.3%,"819,726","179,822",21.9%,"408,449","95,024",23.3%,"137,787","27,470",19.9%,"149,734","32,841",21.9%,"353,002","116,608",33.0%,"387,152","128,246",33.1%,"55,026","16,344",29.7%,"366,881","78,095",21.3%,"429,174","104,327",24.3%,"543,058","142,556",26.3%,"219,871","49,635",22.6%,"249,845","81,076",32.5%,"338,531","87,931",26.0%,"41,769","10,144",24.3%,"98,176","21,217",21.6%,"276,194","56,799",20.6%,"53,426","11,437",21.4%,"568,745","127,654",22.4%,"174,545","63,124",36.2%,"1,604,625","430,821",26.8%,"723,104","194,415",26.9%,"30,498","8,475",27.8%,"640,027","172,973",27.0%,"285,242","74,486",26.1%,"241,432","52,958",21.9%,"712,174","178,953",25.1%,"82,598","18,650",22.6%,"359,775","99,983",27.8%,"38,926","8,941",23.0%,"473,818","124,730",26.3%,"2,717,176","661,386",24.3%,"134,691","18,105",13.4%,"24,781","6,381",25.7%,"492,331","105,758",21.5%,"406,237","81,374",20.0%,"136,014","45,670",33.6%,"261,935","59,812",22.8%,"24,449","5,163",21.1%,"481,805","284,773",59.1%
            High school graduate (includes equivalency) (2021),"58,474,235","8,428,652",14.4%,"1,058,299","174,373",16.5%,"131,946","18,834",14.3%,"1,140,460","157,787",13.8%,"674,825","119,297",17.7%,"5,473,152","762,238",13.9%,"783,428","93,516",11.9%,"629,367","75,529",12.0%,"196,603","22,559",11.5%,"66,679","23,690",35.5%,"4,262,631","641,695",15.1%,"1,876,141","286,570",15.3%,"263,271","39,018",14.8%,"328,722","43,033",13.1%,"2,133,785","305,915",14.3%,"1,474,211","175,011",11.9%,"628,039","75,840",12.1%,"475,932","69,865",14.7%,"981,130","162,578",16.6%,"991,409","194,520",19.6%,"294,631","38,959",13.2%,"993,895","127,658",12.8%,"1,098,437","145,443",13.2%,"1,958,826","295,211",15.1%,"884,835","105,192",11.9%,"567,167","113,434",20.0%,"1,266,548","178,731",14.1%,"200,160","26,507",13.2%,"315,985","37,577",11.9%,"587,954","90,800",15.4%,"262,258","24,475",9.3%,"1,597,690","207,109",13.0%,"364,337","70,556",19.4%,"3,332,015","533,227",16.0%,"1,766,965","269,558",15.3%,"129,608","15,519",12.0%,"2,588,623","367,094",14.2%,"787,551","125,325",15.9%,"650,632","99,890",15.4%,"2,947,024","392,835",13.3%,"207,111","25,180",12.2%,"1,006,024","164,858",16.4%,"167,118","22,827",13.7%,"1,469,690","217,663",14.8%,"4,596,434","687,399",15.0%,"439,170","41,911",9.5%,"118,827","15,015",12.6%,"1,376,389","169,346",12.3%,"1,146,333","136,844",11.9%,"482,637","84,751",17.6%,"1,194,214","143,901",12.0%,"105,117","11,989",11.4%,"663,359","297,754",44.9%
"            Some college, associate's degree (2021)","63,325,705","6,275,835",9.9%,"996,102","118,194",11.9%,"157,510","13,183",8.4%,"1,630,075","162,827",10.0%,"591,084","66,430",11.2%,"7,315,758","735,802",10.1%,"1,118,582","95,419",8.5%,"586,824","50,911",8.7%,"193,303","17,589",9.1%,"70,777","13,509",19.1%,"4,523,319","438,758",9.7%,"1,976,219","210,263",10.6%,"315,122","29,453",9.3%,"420,784","33,380",7.9%,"2,404,106","239,994",10.0%,"1,283,432","116,108",9.0%,"687,491","58,856",8.6%,"597,381","50,805",8.5%,"857,874","107,868",12.6%,"843,615","121,746",14.4%,"289,985","28,620",9.9%,"1,041,171","94,213",9.0%,"1,059,662","102,245",9.6%,"2,180,320","212,948",9.8%,"1,236,202","94,939",7.7%,"620,378","82,719",13.3%,"1,215,216","120,986",10.0%,"249,252","23,350",9.4%,"416,393","33,742",8.1%,"703,298","81,385",11.6%,"275,130","17,348",6.3%,"1,442,562","122,378",8.5%,"455,408","64,415",14.1%,"3,295,085","380,126",11.5%,"2,142,308","218,232",10.2%,"178,288","14,063",7.9%,"2,263,882","232,799",10.3%,"779,987","87,352",11.2%,"1,008,145","106,124",10.5%,"2,181,056","205,771",9.4%,"191,281","16,458",8.6%,"1,056,271","114,234",10.8%,"187,170","16,979",9.1%,"1,334,226","132,734",9.9%,"5,253,507","513,836",9.8%,"681,777","49,788",7.3%,"109,266","9,913",9.1%,"1,506,541","125,009",8.3%,"1,696,277","142,900",8.4%,"319,281","38,540",12.1%,"1,241,979","98,236",7.9%,"145,043","12,358",8.5%,"553,635","189,736",34.3%
