Discipline,HPSA Type,HPSA Sub -Type,Score  Category,Image,County,HPSA ID,HPSA Name,HPSA Status,Last Update Date,State V1,State/Territory,HPSA Score
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Juana Diaz,7729115991,LI - Juana Díaz Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,22
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Toa Alta,7729005158,LI-Dorado Area,Designated,10/26/2017,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Toa Baja,7729005158,LI-Dorado Area,Designated,10/26/2017,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Dorado,7729005158,LI-Dorado Area,Designated,10/26/2017,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Penuelas,7728978525,LI-Peñuelas Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,23
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Luquillo,7728795872,LI - Luquillo Municipio,Designated,09/19/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Maricao,7728747011,LI - Maricao Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,17
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,San Lorenzo,7728522775,LI - San Lorenzo Municipio,Designated,01/26/2024,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Coamo,7728338862,LI - Coamo Municipio,Designated,12/15/2022,Puerto Rico,Puerto Rico,15
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Hatillo,7728324378,LI - Hatillo Municipio,Designated,09/01/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Jayuya,7728149868,LI-Jayuya Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,23
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Comerio,7728112462,LI - Comerío Municipio,Designated,11/07/2023,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Barranquitas,7727691270,LI - Barranquitas Municipio,Designated,12/15/2022,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Lajas,7727617376,LI-Lajas Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Moca,7727610234,LI-Moca Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Aguas Buenas,7727489675,LI - Aguas Buenas Municipio,Designated,11/07/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Ciales,7727390689,LI-Ciales Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,19
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Villalba,7727363254,LI - Villalba Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Yauco,7726991769,LI - Yauco Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Las Marias,7726921680,LI - Las Marías Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,0 - 13,1,Yabucoa,7726882597,LI - Yabucoa Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,11
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Santa Isabel,7726853116,LI - Santa Isabel Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Aibonito,7726667173,LI - Aibonito Municipio,Designated,12/15/2022,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Sabana Grande,7726283254,LI - Sabana Grande Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Rincon,7726063972,LI - Rincón Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,19
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Cabo Rojo,7726000963,LI - Cabo Rojo Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,22
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Patillas,7725739617,LI - Patillas Municipio,Designated,12/15/2022,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Utuado,7725201625,LI - Utuado Municipio,Designated,09/19/2023,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Adjuntas,7725142285,LI - Adjuntas Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Loiza,7724600726,LI - Loíza Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,15
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Aguadilla,7724532959,LI-Aguadilla Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Camuy,7724507830,LI - Camuy Municipio,Designated,05/24/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Ceiba,7724484759,LI - Ceiba Municipio,Designated,11/30/2023,Puerto Rico,Puerto Rico,19
Mental Health,Facility,Correctional Facility,0 - 13,1,Guaynabo,7724418662,MDC - Guaynabo,Designated,04/15/2022,Puerto Rico,Puerto Rico,12
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Salinas,7724403968,LI - Salinas Municipio,Designated,09/01/2023,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Lares,7724294116,LI - Lares Municipio,Designated,09/19/2023,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Humacao,7724272873,LI - Humacao Municipio,Designated,11/30/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Arroyo,7724129470,LI - Arroyo Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,22
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Arecibo,7723972111,LI - Arecibo Municipio,Designated,11/27/2023,Puerto Rico,Puerto Rico,16
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Orocovis,7723765234,LI - Orocovis Municipio,Designated,05/24/2023,Puerto Rico,Puerto Rico,21
Mental Health,Facility,Federally Qualified Health Center,0 - 13,1,Las Piedras,7723325447,Community Health Foundation Of Puerto Rico Inc.,Designated,09/11/2021,Puerto Rico,Puerto Rico,13
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Trujillo Alto,7723181078,LI - Trujillo Alto Municipio,Designated,09/19/2023,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Florida,7722746789,LI - Florida Municipio,Designated,01/31/2024,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Anasco,7722159445,LI - Añasco Municipio,Designated,12/15/2022,Puerto Rico,Puerto Rico,22
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Quebradillas,7722138924,LI - Quebradillas Municipio,Designated,05/24/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Hormigueros,7722136816,LI - Hormigueros Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,San German,7721754188,LI - San Germán Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Isabela,7721587077,LI - Isabela Municipio,Designated,12/15/2022,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Guayanilla,7721565209,LI - Guayanilla Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,23
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,San Sebastian,7721513616,LI - San Sebastián Municipio,Designated,11/20/2023,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Naguabo,7721484739,LI - Naguabo Municipio,Designated,11/07/2023,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Maunabo,7721479146,LI - Maunabo Municipio,Designated,04/10/2023,Puerto Rico,Puerto Rico,16
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Las Piedras,7721136925,LI-Las Piedras Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,20
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Guayama,7721022590,LI - Guayama Municipio,Designated,09/01/2023,Puerto Rico,Puerto Rico,16
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Koror,7709997001,REPUBLIC OF PALAU,Designated,11/05/2021,Republic of Palau,Republic of Palau,21
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Angaur,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Sonsorol,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Airai,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Aimeliik,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ngaraard,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ngiwal,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ngatpang,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ngardmau,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Peleliu,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ngernmlengui,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ngchesar,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Melekeok,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Koror,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ngarchelong,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Hatoboheit,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Kayangel,7702110144,Republic of Palau,Designated,12/31/2020,Republic of Palau,Republic of Palau,19
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Saipan,7699996904,"KAGMAN COMMUNITY HEALTH CENTER, INC",Designated,09/11/2021,Northern Mariana Islands,Northern Mariana Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Rota,7691205494,Commonwealth of the Northern Mariana Islands,Designated,12/31/2020,Northern Mariana Islands,Northern Mariana Islands,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Saipan,7691205494,Commonwealth of the Northern Mariana Islands,Designated,12/31/2020,Northern Mariana Islands,Northern Mariana Islands,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Tinian,7691205494,Commonwealth of the Northern Mariana Islands,Designated,12/31/2020,Northern Mariana Islands,Northern Mariana Islands,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Northern Islands,7691205494,Commonwealth of the Northern Mariana Islands,Designated,12/31/2020,Northern Mariana Islands,Northern Mariana Islands,19
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Not Determined,7689996801,MINISTRY OF HEALTH IN THE REPU BLIC OF THE MARSHALL ISLANDS,Designated,09/11/2021,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Wotho,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Utrik,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Namorik,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Rongrik,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Mili,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Lib,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Lae,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Mejit,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Maloelap,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Wotje,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Arno,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Namu,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ailinglaplap,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Jaluit,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Kwajalein,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Likiep,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ailinginae,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Majuro,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Aur,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Erikub,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Enewetak,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Jabat,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Jemo,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ujae,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ujelang,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Toke,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ailuk,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Ebon,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Bokak,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Bikar,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Bikini,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Rongelap,7683217213,Republic of Marshall Islands,Designated,12/31/2020,Marshall Islands,Marshall Islands,20
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Guam,7669996602,GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,Designated,09/11/2021,Guam,Guam,20
Mental Health,Facility,Correctional Facility,0 - 13,1,Guam,7669389359,Guam Department of Corrections,Designated,07/08/2020,Guam,Guam,12
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Guam,7668691202,LI - Guam,Designated,08/04/2021,Guam,Guam,19
Mental Health,Facility,Correctional Facility,0 - 13,1,Guam,7667194827,Guam Youth Correctional Facilities,Designated,06/16/2021,Guam,Guam,6
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Chuuk,7649996403,Chuuk State Department of Health Services,Designated,09/11/2021,Federated States of Micronesia,Federated States of Micronesia,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Pohnpei,7649996402,POHNPEI COMMUNITY HEALTH CENTRE,Designated,09/11/2021,Federated States of Micronesia,Federated States of Micronesia,21
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Yap,7649996401,YAP STATE DEPARTMENT OF HEALTH SERVICES,Designated,09/11/2021,Federated States of Micronesia,Federated States of Micronesia,20
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Kosrae,7649729090,Kosrae Community Health Center,Designated,09/12/2021,Federated States of Micronesia,Federated States of Micronesia,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Yap,7647758340,Yap State,Designated,12/31/2020,Federated States of Micronesia,Federated States of Micronesia,16
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Kosrae,7644625755,Kosrae State,Designated,12/31/2020,Federated States of Micronesia,Federated States of Micronesia,14
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Chuuk,7642755078,Chuuk State,Designated,12/31/2020,Federated States of Micronesia,Federated States of Micronesia,19
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Pohnpei,7642233388,Pohnpei State,Designated,12/31/2020,Federated States of Micronesia,Federated States of Micronesia,17
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Western,7609996002,DEPARTMENT OF HEALTH,Designated,09/11/2021,American Samoa,American Samoa,21
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Manu'a,7601302680,American Samoa,Designated,12/31/2020,American Samoa,American Samoa,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Western,7601302680,American Samoa,Designated,12/31/2020,American Samoa,American Samoa,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Swains Island,7601302680,American Samoa,Designated,12/31/2020,American Samoa,American Samoa,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Rose Island,7601302680,American Samoa,Designated,12/31/2020,American Samoa,American Samoa,20
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,Eastern,7601302680,American Samoa,Designated,12/31/2020,American Samoa,American Samoa,20
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Albany,75699956O4,University of Wyoming,Designated,09/11/2021,Wyoming,Wyoming,18
Mental Health,Facility,Rural Health Clinic,0 - 13,1,Hot Springs,7569995631,RED ROCK FAMILY PRACTICE,Designated,09/12/2021,Wyoming,Wyoming,12
Mental Health,Facility,Rural Health Clinic,0 - 13,1,Crook,7569995628,MOORCROFT CLINIC,Designated,09/12/2021,Wyoming,Wyoming,12
Mental Health,Facility,Rural Health Clinic,14 - 25,1,Crook,7569995627,SUNDANCE CLINIC,Designated,09/12/2021,Wyoming,Wyoming,16
Mental Health,Facility,Rural Health Clinic,0 - 13,1,Crook,7569995626,HULETT CLINIC,Designated,09/12/2021,Wyoming,Wyoming,13
Mental Health,Facility,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",14 - 25,1,Fremont,7569995621,WIND RVR FAM & COMM HLTH CARE,Designated,09/11/2021,Wyoming,Wyoming,17
Mental Health,Facility,Federally Qualified Health Center,0 - 13,1,Laramie,7569995617,Cheyenne Health and Wellness Center,Designated,09/10/2021,Wyoming,Wyoming,12
Mental Health,Facility,Federally Qualified Health Center,0 - 13,1,Laramie,7569995616,Community Action of Laramie County Inc,Designated,09/11/2021,Wyoming,Wyoming,10
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Natrona,7569995615,"NATRONA, COUNTY OF",Designated,09/11/2021,Wyoming,Wyoming,16
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Natrona,7569995612,"Community Health Center of Central Wyoming, Inc.",Designated,09/10/2021,Wyoming,Wyoming,21
